flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,702,SGP,699,IND,93,Arms and ammunition; parts and accessories thereof,N/A,0.0,5632.373
X,702,SGP,729,SDN,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,20.841
X,702,SGP,704,VNM,91,Clocks and watches and parts thereof,N/A,0.0,65302634.377
X,702,SGP,757,CHE,72,Iron and steel,N/A,0.0,22448.362
X,702,SGP,760,SYR,38,Chemical products n.e.c.,N/A,0.0,2725.75
X,702,SGP,826,GBR,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,225102689.952
X,702,SGP,842,USA,65,Headgear and parts thereof,N/A,0.0,2573760.218
X,702,SGP,480,MUS,91,Clocks and watches and parts thereof,N/A,0.0,28113.486
X,702,SGP,512,OMN,69,Ceramic products,N/A,0.0,11367.465
X,702,SGP,554,NZL,40,Rubber and articles thereof,N/A,0.0,4937531.976
X,702,SGP,548,VUT,99,Commodities not specified according to kind,N/A,0.0,10930139.179
X,702,SGP,528,NLD,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,126663.274
X,702,SGP,579,NOR,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,3907.008
X,702,SGP,608,PHL,40,Rubber and articles thereof,N/A,0.0,35161407.842
X,702,SGP,604,PER,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,290940.71
X,702,SGP,591,PAN,73,Iron or steel articles,N/A,0.0,111710.354
X,702,SGP,643,RUS,97,Works of art; collectors' pieces and antiques,N/A,0.0,2603.679
X,702,SGP,699,IND,73,Iron or steel articles,N/A,0.0,72706432.869
X,702,SGP,430,LBR,40,Rubber and articles thereof,N/A,0.0,38705.355
X,702,SGP,414,KWT,91,Clocks and watches and parts thereof,N/A,0.0,191881.797
X,702,SGP,480,MUS,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,68466.796
X,702,SGP,462,MDV,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,79549.181
X,702,SGP,462,MDV,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,22594.995
X,702,SGP,458,MYS,93,Arms and ammunition; parts and accessories thereof,N/A,0.0,2681.09
X,702,SGP,418,LAO,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,20704.388
X,702,SGP,392,JPN,38,Chemical products n.e.c.,N/A,0.0,456882928.233
X,702,SGP,392,JPN,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,375320709.396
X,702,SGP,392,JPN,72,Iron and steel,N/A,0.0,69652144.18
X,702,SGP,372,IRL,69,Ceramic products,N/A,0.0,1199.866
X,702,SGP,422,LBN,75,Nickel and articles thereof,N/A,0.0,5211.825
X,702,SGP,60,BMU,91,Clocks and watches and parts thereof,N/A,0.0,1952.387
X,702,SGP,104,MMR,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,0.0,76283.789
X,702,SGP,124,CAN,09,"Coffee, tea, mate and spices",N/A,0.0,268959.046
X,702,SGP,116,KHM,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,5680897900.042
X,702,SGP,170,COL,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,10877935.331
X,702,SGP,178,COG,99,Commodities not specified according to kind,N/A,0.0,15374.958
X,702,SGP,196,CYP,40,Rubber and articles thereof,N/A,0.0,152810.23
X,702,SGP,276,DEU,02,Meat and edible meat offal,N/A,0.0,313277.422
X,702,SGP,266,GAB,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,1215.497
X,702,SGP,246,FIN,73,Iron or steel articles,N/A,0.0,125049.559
X,702,SGP,16,ASM,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,384406.699
X,702,SGP,16,ASM,40,Rubber and articles thereof,N/A,0.0,2608.89
X,702,SGP,24,AGO,29,Organic chemicals,N/A,0.0,39131.858
X,702,SGP,32,ARG,76,Aluminium and articles thereof,N/A,0.0,2364.004
X,702,SGP,36,AUS,09,"Coffee, tea, mate and spices",N/A,0.0,2829359.217
X,702,SGP,90,SLB,69,Ceramic products,N/A,0.0,9885.497
X,702,SGP,858,URY,72,Iron and steel,N/A,0.0,679.577
X,702,SGP,842,USA,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,299707.473
X,702,SGP,795,TKM,73,Iron or steel articles,N/A,0.0,202206.451
X,702,SGP,804,UKR,99,Commodities not specified according to kind,N/A,0.0,46265.553
X,702,SGP,50,BGD,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,13197.782
X,702,SGP,56,BEL,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,23045070.859
X,702,SGP,104,MMR,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,556955.172
X,702,SGP,116,KHM,91,Clocks and watches and parts thereof,N/A,0.0,23269824.668
X,702,SGP,124,CAN,21,Miscellaneous edible preparations,N/A,0.0,18032649.976
X,702,SGP,752,SWE,73,Iron or steel articles,N/A,0.0,1960284.807
X,702,SGP,788,TUN,29,Organic chemicals,N/A,0.0,273209.936
X,702,SGP,760,SYR,40,Rubber and articles thereof,N/A,0.0,71806.621
X,702,SGP,682,SAU,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,47861.404
X,702,SGP,690,SYC,99,Commodities not specified according to kind,N/A,0.0,2120890.445
X,702,SGP,688,SRB,73,Iron or steel articles,N/A,0.0,3724.646
X,702,SGP,490,S19,45,Cork and articles of cork,N/A,0.0,942.327
X,702,SGP,484,MEX,69,Ceramic products,N/A,0.0,9001.228
X,702,SGP,524,NPL,40,Rubber and articles thereof,N/A,0.0,282255.824
X,702,SGP,524,NPL,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,2046779.366
X,702,SGP,524,NPL,75,Nickel and articles thereof,N/A,0.0,1252.714
X,702,SGP,584,MHL,99,Commodities not specified according to kind,N/A,0.0,3582708429.432
X,702,SGP,554,NZL,75,Nickel and articles thereof,N/A,0.0,225979.726
X,702,SGP,548,VUT,72,Iron and steel,N/A,0.0,266759.54
X,702,SGP,388,JAM,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,64.757
X,702,SGP,392,JPN,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,35854.557
X,702,SGP,458,MYS,29,Organic chemicals,N/A,0.0,815894162.711
X,702,SGP,422,LBN,76,Aluminium and articles thereof,N/A,0.0,1510.998
X,702,SGP,410,KOR,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,5558862.341
X,702,SGP,462,MDV,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,0.0,23973.501
X,702,SGP,348,HUN,29,Organic chemicals,N/A,0.0,13077.944
X,702,SGP,300,GRC,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,5445.546
X,702,SGP,316,GUM,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,398396.452
X,702,SGP,292,GIB,73,Iron or steel articles,N/A,0.0,1689.638
X,702,SGP,376,ISR,65,Headgear and parts thereof,N/A,0.0,12742.994
X,702,SGP,364,IRN,40,Rubber and articles thereof,N/A,0.0,493761.236
X,702,SGP,368,IRQ,38,Chemical products n.e.c.,N/A,0.0,39199.593
X,702,SGP,404,KEN,76,Aluminium and articles thereof,N/A,0.0,669496.946
X,702,SGP,400,JOR,29,Organic chemicals,N/A,0.0,5835989.705
X,702,SGP,144,LKA,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,726356.601
X,702,SGP,208,DNK,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,302044.681
X,702,SGP,174,COM,99,Commodities not specified according to kind,N/A,0.0,2516982.44
X,702,SGP,178,COG,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,6990.038
X,702,SGP,178,COG,65,Headgear and parts thereof,N/A,0.0,1328.636
X,702,SGP,156,CHN,09,"Coffee, tea, mate and spices",N/A,0.0,2968124.614
X,702,SGP,246,FIN,09,"Coffee, tea, mate and spices",N/A,0.0,7081.591
X,702,SGP,246,FIN,38,Chemical products n.e.c.,N/A,0.0,49640.362
X,702,SGP,214,DOM,73,Iron or steel articles,N/A,0.0,23553.697
X,702,SGP,231,ETH,29,Organic chemicals,N/A,0.0,31.262
X,702,SGP,276,DEU,38,Chemical products n.e.c.,N/A,0.0,20307656.957
X,702,SGP,266,GAB,99,Commodities not specified according to kind,N/A,0.0,6003400.042
X,702,SGP,0,W00,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,0.0,16059166.643
X,702,SGP,24,AGO,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,101408.774
X,702,SGP,51,ARM,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,500.192
X,702,SGP,776,TON,21,Miscellaneous edible preparations,N/A,0.0,128435.533
X,702,SGP,784,ARE,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,2115080.92
X,702,SGP,862,VEN,29,Organic chemicals,N/A,0.0,514600.348
X,702,SGP,887,YEM,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,77995.012
X,702,SGP,686,SEN,38,Chemical products n.e.c.,N/A,0.0,116369.138
X,702,SGP,752,SWE,76,Aluminium and articles thereof,N/A,0.0,1650.932
X,702,SGP,724,ESP,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,636773.801
X,702,SGP,724,ESP,09,"Coffee, tea, mate and spices",N/A,0.0,139472.514
X,702,SGP,704,VNM,65,Headgear and parts thereof,N/A,0.0,965713.494
X,702,SGP,792,TUR,40,Rubber and articles thereof,N/A,0.0,18884340.471
X,702,SGP,566,NGA,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,3551.961
X,702,SGP,554,NZL,69,Ceramic products,N/A,0.0,229460.231
X,702,SGP,540,NCL,75,Nickel and articles thereof,N/A,0.0,5485.74
X,702,SGP,528,NLD,76,Aluminium and articles thereof,N/A,0.0,64807150.753
X,702,SGP,533,ABW,99,Commodities not specified according to kind,N/A,0.0,25475.567
X,702,SGP,626,TLS,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,131841.604
X,702,SGP,616,POL,76,Aluminium and articles thereof,N/A,0.0,52289.446
X,702,SGP,616,POL,38,Chemical products n.e.c.,N/A,0.0,70779.441
X,702,SGP,608,PHL,75,Nickel and articles thereof,N/A,0.0,885625.415
X,702,SGP,598,PNG,91,Clocks and watches and parts thereof,N/A,0.0,227802.6
X,702,SGP,591,PAN,29,Organic chemicals,N/A,0.0,531430068.692
X,702,SGP,434,LBY,75,Nickel and articles thereof,N/A,0.0,26484.139
X,702,SGP,440,LTU,21,Miscellaneous edible preparations,N/A,0.0,121708.244
X,702,SGP,418,LAO,21,Miscellaneous edible preparations,N/A,0.0,257600.513
X,702,SGP,524,NPL,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,409121.557
X,702,SGP,496,MNG,99,Commodities not specified according to kind,N/A,0.0,4073404.408
X,702,SGP,508,MOZ,99,Commodities not specified according to kind,N/A,0.0,193874.379
X,702,SGP,512,OMN,97,Works of art; collectors' pieces and antiques,N/A,0.0,4845.613
X,702,SGP,586,PAK,38,Chemical products n.e.c.,N/A,0.0,57290673.53
X,702,SGP,384,CIV,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,107.928
X,702,SGP,450,MDG,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,44898.212
X,702,SGP,418,LAO,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,537563.045
X,702,SGP,422,LBN,21,Miscellaneous edible preparations,N/A,0.0,3287410.298
X,702,SGP,422,LBN,40,Rubber and articles thereof,N/A,0.0,268222.9
X,702,SGP,430,LBR,99,Commodities not specified according to kind,N/A,0.0,3347398398.243
X,702,SGP,434,LBY,73,Iron or steel articles,N/A,0.0,43023.235
X,702,SGP,156,CHN,02,Meat and edible meat offal,N/A,0.0,30072.572
X,702,SGP,266,GAB,73,Iron or steel articles,N/A,0.0,2741582.916
X,702,SGP,316,GUM,38,Chemical products n.e.c.,N/A,0.0,150936.742
X,702,SGP,276,DEU,99,Commodities not specified according to kind,N/A,0.0,114640654.828
X,702,SGP,372,IRL,02,Meat and edible meat offal,N/A,0.0,582189.575
X,702,SGP,96,BRN,76,Aluminium and articles thereof,N/A,0.0,1358071.166
X,702,SGP,116,KHM,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,0.0,3777.494
X,702,SGP,152,CHL,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",N/A,0.0,113.883
X,702,SGP,144,LKA,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,1135772.17
X,702,SGP,162,CXR,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,751.033
X,702,SGP,0,W00,72,Iron and steel,N/A,0.0,1970781109.357
X,702,SGP,70,BIH,91,Clocks and watches and parts thereof,N/A,0.0,783.039
X,702,SGP,70,BIH,99,Commodities not specified according to kind,N/A,0.0,1178.28
X,702,SGP,76,BRA,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,653309.92
X,702,SGP,51,ARM,38,Chemical products n.e.c.,N/A,0.0,1015.271
X,702,SGP,56,BEL,69,Ceramic products,N/A,0.0,30484.933
X,702,SGP,84,BLZ,99,Commodities not specified according to kind,N/A,0.0,14354489.022
X,702,SGP,64,BTN,97,Works of art; collectors' pieces and antiques,N/A,0.0,122070.735
X,702,SGP,462,MDV,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,6001865.97
X,702,SGP,490,S19,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,12711247.966
X,702,SGP,458,MYS,65,Headgear and parts thereof,N/A,0.0,2888486.858
X,702,SGP,320,GTM,65,Headgear and parts thereof,N/A,0.0,1208.054
X,702,SGP,288,GHA,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,10472.032
X,702,SGP,276,DEU,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,658200.937
X,702,SGP,266,GAB,76,Aluminium and articles thereof,N/A,0.0,21068.367
X,702,SGP,268,GEO,29,Organic chemicals,N/A,0.0,1136.598
X,702,SGP,384,CIV,76,Aluminium and articles thereof,N/A,0.0,10783.907
X,702,SGP,410,KOR,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,10727396.807
X,702,SGP,180,COD,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,3272.835
X,702,SGP,170,COL,65,Headgear and parts thereof,N/A,0.0,7668.126
X,702,SGP,178,COG,75,Nickel and articles thereof,N/A,0.0,16.375
X,702,SGP,162,CXR,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,14.887
X,702,SGP,0,W00,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,286982466.13
X,702,SGP,40,AUT,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,12019.501
X,702,SGP,36,AUS,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,454658127.308
X,702,SGP,36,AUS,73,Iron or steel articles,N/A,0.0,76630518.716
X,702,SGP,32,ARG,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,11345755.048
X,702,SGP,376,ISR,40,Rubber and articles thereof,N/A,0.0,2649771.581
X,702,SGP,699,IND,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,2680950.233
X,702,SGP,699,IND,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,329014.126
X,702,SGP,834,TZA,76,Aluminium and articles thereof,N/A,0.0,15203.761
X,702,SGP,804,UKR,21,Miscellaneous edible preparations,N/A,0.0,392998.544
X,702,SGP,858,URY,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,383277.545
X,702,SGP,854,BFA,40,Rubber and articles thereof,N/A,0.0,5688.943
X,702,SGP,792,TUR,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,4922492.713
X,702,SGP,682,SAU,65,Headgear and parts thereof,N/A,0.0,12147.527
X,702,SGP,490,S19,73,Iron or steel articles,N/A,0.0,18120255.825
X,702,SGP,470,MLT,69,Ceramic products,N/A,0.0,6517.386
X,702,SGP,470,MLT,73,Iron or steel articles,N/A,0.0,191377.883
X,702,SGP,470,MLT,91,Clocks and watches and parts thereof,N/A,0.0,42965.921
X,702,SGP,524,NPL,76,Aluminium and articles thereof,N/A,0.0,151455.543
X,702,SGP,504,MAR,65,Headgear and parts thereof,N/A,0.0,9024.302
X,702,SGP,586,PAK,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,22168840.424
X,702,SGP,450,MDG,73,Iron or steel articles,N/A,0.0,286849.852
X,702,SGP,418,LAO,72,Iron and steel,N/A,0.0,7147.837
X,702,SGP,426,LSO,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,56707.811
X,702,SGP,442,LUX,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,2265.752
X,702,SGP,414,KWT,99,Commodities not specified according to kind,N/A,0.0,18726756.829
X,702,SGP,458,MYS,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,44729402.86
X,702,SGP,268,GEO,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,242579.113
X,702,SGP,276,DEU,65,Headgear and parts thereof,N/A,0.0,267445.815
X,702,SGP,344,HKG,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,985276791.825
X,702,SGP,368,IRQ,65,Headgear and parts thereof,N/A,0.0,3304.098
X,702,SGP,360,IDN,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,24452448.182
X,702,SGP,410,KOR,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,149623678.621
X,702,SGP,152,CHL,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,169442.368
X,702,SGP,148,TCD,65,Headgear and parts thereof,N/A,0.0,100.485
X,702,SGP,208,DNK,72,Iron and steel,N/A,0.0,62576.883
X,702,SGP,170,COL,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,116.86
X,702,SGP,64,BTN,76,Aluminium and articles thereof,N/A,0.0,432.458
X,702,SGP,96,BRN,75,Nickel and articles thereof,N/A,0.0,344043.713
X,702,SGP,86,IOT,73,Iron or steel articles,N/A,0.0,89867.88
X,702,SGP,328,GUY,69,Ceramic products,N/A,0.0,21839.497
X,702,SGP,320,GTM,40,Rubber and articles thereof,N/A,0.0,34035.405
X,702,SGP,36,AUS,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,925793.386
X,702,SGP,16,ASM,73,Iron or steel articles,N/A,0.0,7523.726
X,702,SGP,40,AUT,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,8839226.775
X,702,SGP,60,BMU,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,4625.29
X,702,SGP,50,BGD,91,Clocks and watches and parts thereof,N/A,0.0,68456.375
X,702,SGP,52,BRB,76,Aluminium and articles thereof,N/A,0.0,131.747
X,702,SGP,96,BRN,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,724602.951
X,702,SGP,340,HND,29,Organic chemicals,N/A,0.0,3281.023
X,702,SGP,795,TKM,38,Chemical products n.e.c.,N/A,0.0,56054.286
X,702,SGP,804,UKR,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,177.151
X,702,SGP,887,YEM,21,Miscellaneous edible preparations,N/A,0.0,572356.926
X,702,SGP,540,NCL,40,Rubber and articles thereof,N/A,0.0,81142.055
X,702,SGP,634,QAT,21,Miscellaneous edible preparations,N/A,0.0,7123404.246
X,702,SGP,634,QAT,38,Chemical products n.e.c.,N/A,0.0,1572956.598
X,702,SGP,706,SOM,09,"Coffee, tea, mate and spices",N/A,0.0,30036.844
X,702,SGP,699,IND,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,120367.699
X,702,SGP,690,SYC,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,97242.738
X,702,SGP,784,ARE,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,0.0,120102.717
X,702,SGP,764,THA,40,Rubber and articles thereof,N/A,0.0,170106187.02
X,702,SGP,384,CIV,29,Organic chemicals,N/A,0.0,14523.44
X,702,SGP,384,CIV,72,Iron and steel,N/A,0.0,77437.506
X,702,SGP,462,MDV,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,150669.526
X,702,SGP,504,MAR,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,6283407.234
X,702,SGP,512,OMN,09,"Coffee, tea, mate and spices",N/A,0.0,469225.019
X,702,SGP,203,CZE,76,Aluminium and articles thereof,N/A,0.0,195376.444
X,702,SGP,266,GAB,75,Nickel and articles thereof,N/A,0.0,96.019
X,702,SGP,268,GEO,76,Aluminium and articles thereof,N/A,0.0,0.744
X,702,SGP,348,HUN,73,Iron or steel articles,N/A,0.0,1988675.93
X,702,SGP,380,ITA,38,Chemical products n.e.c.,N/A,0.0,44293197.975
X,702,SGP,364,IRN,99,Commodities not specified according to kind,N/A,0.0,64390.824
X,702,SGP,422,LBN,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,104.207
X,702,SGP,422,LBN,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,47964.123
X,702,SGP,440,LTU,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,11101.738
X,702,SGP,458,MYS,40,Rubber and articles thereof,N/A,0.0,132973429.849
X,702,SGP,104,MMR,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,748997.001
X,702,SGP,180,COD,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,4.466
X,702,SGP,188,CRI,65,Headgear and parts thereof,N/A,0.0,6005.285
X,702,SGP,144,LKA,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,526030.337
X,702,SGP,242,FJI,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,9905.594
X,702,SGP,208,DNK,40,Rubber and articles thereof,N/A,0.0,1244512.632
X,702,SGP,36,AUS,02,Meat and edible meat offal,N/A,0.0,11855066.905
X,702,SGP,36,AUS,29,Organic chemicals,N/A,0.0,164944760.94
X,702,SGP,12,DZA,29,Organic chemicals,N/A,0.0,159873.957
X,702,SGP,12,DZA,99,Commodities not specified according to kind,N/A,0.0,1352014.523
X,702,SGP,764,THA,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,0.0,692485.694
X,702,SGP,752,SWE,99,Commodities not specified according to kind,N/A,0.0,7013879.256
X,702,SGP,705,SVN,40,Rubber and articles thereof,N/A,0.0,2456976.486
X,702,SGP,818,EGY,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,472578.242
X,702,SGP,804,UKR,76,Aluminium and articles thereof,N/A,0.0,5.955
X,702,SGP,882,WSM,38,Chemical products n.e.c.,N/A,0.0,1566.823
X,702,SGP,842,USA,75,Nickel and articles thereof,N/A,0.0,10544198.407
X,702,SGP,784,ARE,76,Aluminium and articles thereof,N/A,0.0,3809896.862
X,702,SGP,643,RUS,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,3689872.301
X,702,SGP,642,ROU,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,34560.16
X,702,SGP,170,COL,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,0.0,163426.662
X,702,SGP,4,AFG,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,0.0,297.733
X,702,SGP,72,BWA,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,284103.26
X,702,SGP,860,UZB,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,1019259.375
X,702,SGP,634,QAT,31,Fertilizers,N/A,0.0,1894.329
X,702,SGP,585,PLW,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,59299.581
X,702,SGP,162,CXR,07,Vegetables and certain roots and tubers; edible,N/A,0.0,116.116
X,702,SGP,233,EST,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,719155.917
X,702,SGP,36,AUS,61,Apparel and clothing accessories; knitted or crocheted,N/A,0.0,24069440.83
X,702,SGP,156,CHN,22,"Beverages, spirits and vinegar",N/A,0.0,936636539.604
X,702,SGP,706,SOM,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,135663.014
X,702,SGP,480,MUS,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,32101722.733
X,702,SGP,384,CIV,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,219454.897
X,702,SGP,380,ITA,07,Vegetables and certain roots and tubers; edible,N/A,0.0,40.938
X,702,SGP,380,ITA,61,Apparel and clothing accessories; knitted or crocheted,N/A,0.0,4065419.195
X,702,SGP,462,MDV,31,Fertilizers,N/A,0.0,241.164
X,702,SGP,320,GTM,61,Apparel and clothing accessories; knitted or crocheted,N/A,0.0,1962.064
X,702,SGP,398,KAZ,22,"Beverages, spirits and vinegar",N/A,0.0,70419.183
X,702,SGP,858,URY,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,1790361.6
X,702,SGP,96,BRN,41,Raw hides and skins (other than furskins) and leather,N/A,0.0,393.753
X,702,SGP,222,SLV,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,676295.691
